CountryCode,state,city,lat,lon,area_code,zip_code
us,Louisiana,Baton Rouge,30.4515,-91.1871,225,70801
us,California,Modesto,37.6391,-120.9969,209,95350
us,California,Fontana,34.0926,-117.435,909,92335
us,Texas,McKinney,33.1975,-96.6398,"214, 972",75069
us,California,Moreno Valley,33.9425,-117.2297,951,92553
us,Iowa,Des Moines,41.5868,-93.625,515,50301
us,North Carolina,Fayetteville,35.0527,-78.8784,910,28301
us,Minnesota,Saint Paul,44.9537,-93.09,651,55101
us,New Jersey,Jersey City,40.7282,-74.0776,"201, 551",07302
us,Texas,Plano,33.0198,-96.6989,"972, 469",75023
us,Alaska,Anchorage,61.2176,-149.8992,907,99501
us,Nevada,North Las Vegas,36.1989,-115.1175,702,89030
us,Missouri,St. Louis,38.627,-90.1994,314,63101
us,Wisconsin,Madison,43.0731,-89.4012,608,53703
us,Arizona,Chandler,33.3062,-111.841,480,85224
us,Arizona,Gilbert,33.4126,-111.789,480,85233
us,Nevada,Reno,39.5296,-119.8138,775,89501
us,New York,Buffalo,42.8864,-78.8784,716,14201
us,California,Chula Vista,32.64,-117.0842,619,91909
us,Ohio,Cleveland,41.4993,-81.6944,"216, 440",44101
us,Hawaii,Honolulu,21.3069,-157.8583,808,96801
us,California,Anaheim,33.8366,-117.9145,"714, 657",92801
us,Nevada,Henderson,36.0395,-114.9817,702,89002
us,California,Stockton,37.9577,-121.2908,209,95201
us,Colorado,Lakewood,39.7051,-105.0814,303,80226
us,California,Riverside,33.9806,-117.3755,951,92501
us,Texas,San Angelo,31.4638,-100.437,325,76901
us,Connecticut,Bridgeport,41.1792,-73.189,203,06601
us,Arizona,Peoria,33.5806,-112.237,623,85345
us,California,Santa Maria,34.9592,-120.4357,805,93454
us,California,Escondido,33.1192,-116.9338,760,92025
us,Missouri,Springfield,37.2087,-93.2923,417,65801
us,California,Lancaster,34.6868,-118.1542,661,93534
us,California,Thousand Oaks,34.1706,-118.8376,805,91360
us,California,Simi Valley,34.2694,-118.7815,805,93062
us,California,Garden Grove,33.7739,-117.9411,714,92840
us,California,Inglewood,33.9617,-118.22,310,90301
us,California,Downey,33.9401,-118.1327,562,90239
us,North Dakota,Bismarck,46.8083,-100.7837,701,58501
us,Utah,St. George,37.0967,-113.5765,435,84770
us,Texas,Lubbock,33.5779,-101.8552,806,79401
us,South Dakota,Rapid City,44.0805,-103.231,605,57701
us,Alabama,Tuscaloosa,33.2098,-87.5692,205,35401
us,New Mexico,Farmington,36.7281,-108.2187,505,87401
us,Montana,Billings,45.7833,-108.5007,406,59101
us,Wisconsin,Eau Claire,44.8113,-91.4985,715,54701
us,Virginia,Lynchburg,37.4138,-79.1423,434,24501
us,Michigan,Kalamazoo,42.2917,-85.5872,269,49001
us,California,Redlands,34.0556,-117.1825,909,92373
us,New Hampshire,Concord,43.2081,-71.5375,603,03301
us,Wyoming,Casper,42.85,-106.32,307,82601
us,Missouri,Jefferson City,38.5767,-92.1735,573,65101
us,Texas,Longview,32.5,-94.74,"903, 430",75601
us,Colorado,Grand Junction,39.0639,-108.55,970,81501
us,South Carolina,Spartanburg,34.9496,-81.932,864,29301
us,California,Carlsbad,33.1581,-117.3502,760,92008
us,Oregon,Redmond,44.2587,-121.3153,541,97756
us,Ohio,Westerville,40.1263,-82.933,614,43081
us,Wisconsin,Brookfield,43.08,-88.1074,262,53005
us,Illinois,Danville,40.1231,-87.6306,217,61832
us,Georgia,Marietta,33.9526,-84.5499,770,30060
us,Wisconsin,Kenosha,42.5847,-87.8211,262,53140
us,Michigan,Battle Creek,42.3194,-85.1794,269,49014
us,Florida,Gainesville,29.6516,-82.3248,352,32601
us,Indiana,Muncie,40.1934,-85.3863,765,47302
us,Indiana,Evansville,37.9716,-87.5711,812,47708
us,Texas,Waco,31.5497,-97.1467,254,76701
us,California,Glendora,34.1366,-117.8654,626,91740
us,Iowa,Waterloo,42.4925,-92.3126,319,50701
us,Idaho,Meridian,43.6121,-116.3915,208,83642
us,Indiana,Anderson,40.105,-85.6801,765,46011
us,Missouri,O'Fallon,38.8104,-90.6983,636,63366
us,Texas,San Marcos,29.884,-97.9414,512,78666
